Station Name,LID,Modes of Transports
"Capellen, Hireknapp","A=1@O=Capellen, Hireknapp@X=6001684@Y=49641526@U=82@L=190901002@",32
"Capellen, Hirebesch","A=1@O=Capellen, Hirebesch@X=6006457@Y=49641724@U=82@L=190901010@",32
"Reckange-sur-Mess, Findel","A=1@O=Reckange-sur-Mess, Findel@X=6007293@Y=49564336@U=82@L=221004002@",32
"Reckange-sur-Mess, Am Duerf","A=1@O=Reckange-sur-Mess, Am Duerf@X=6007329@Y=49562097@U=82@L=221004001@",32
"Mamer, Coq Hardi","A=1@O=Mamer, Coq Hardi@X=6011338@Y=49623269@U=82@L=190903004@",32
"Capellen, Eechterfeld","A=1@O=Capellen, Eechterfeld@X=6012372@Y=49641688@U=82@L=190901008@",32
"Mamer, Scoutshome","A=1@O=Mamer, Scoutshome@X=6012678@Y=49636178@U=82@L=190903016@",32
"Capellen, Pafebruch","A=1@O=Capellen, Pafebruch@X=6013891@Y=49640825@U=82@L=190901009@",32
"Mamer, Holzemerstrooss","A=1@O=Mamer, Holzemerstrooss@X=6015411@Y=49624779@U=82@L=190903009@",32
"Mamer, Eglantiers","A=1@O=Mamer, Eglantiers@X=6016777@Y=49633993@U=82@L=190903005@",32
"Reckange-sur-Mess, Wollefskaul","A=1@O=Reckange-sur-Mess, Wollefskaul@X=6017999@Y=49562772@U=82@L=221004003@",32
"Mamer, Eisebunnsbréck","A=1@O=Mamer, Eisebunnsbréck@X=6018772@Y=49627413@U=82@L=190903006@",32
"Mamer, Gare","A=1@O=Mamer, Gare@X=6020211@Y=49625768@U=82@L=190903008@",4
"Mamer, Zentrum","A=1@O=Mamer, Zentrum@X=6021101@Y=49628905@U=82@L=190903014@",32
"Mamer, Mambra","A=1@O=Mamer, Mambra@X=6022009@Y=49631521@U=82@L=190903012@",32
"Mamer, C.I.P.A.","A=1@O=Mamer, C.I.P.A.@X=6025218@Y=49628654@U=82@L=190903003@",32
"Mamer, Baerendall","A=1@O=Mamer, Baerendall@X=6025838@Y=49629894@U=82@L=190903002@",32
"Mamer, Arelerstrooss","A=1@O=Mamer, Arelerstrooss@X=6028337@Y=49628914@U=82@L=190903001@",32
"Mamer (Lycée), Gare","A=1@O=Mamer (Lycée), Gare@X=6029766@Y=49618397@U=82@L=190903011@",4
"Mamer, Gaaschtbierg","A=1@O=Mamer, Gaaschtbierg@X=6032472@Y=49627170@U=82@L=190903007@",32
"Roedgen, Laangwis","A=1@O=Roedgen, Laangwis@X=6032886@Y=49573397@U=82@L=221005001@",32
"Mamer (Lycée), Gare routière","A=1@O=Mamer (Lycée), Gare routière@X=6035924@Y=49622325@U=82@L=190903015@",32
"Mamer, Tossebierg","A=1@O=Mamer, Tossebierg@X=6036688@Y=49624276@U=82@L=190903013@",32
"Bertrange, Gaston Thorn / LJBM","A=1@O=Bertrange, Gaston Thorn / LJBM@X=6036787@Y=49621130@U=82@L=200101009@",32
"Bertrange, Ecole Européenne II","A=1@O=Bertrange, Ecole Européenne II@X=6037991@Y=49617732@U=82@L=200101021@",32
"Bertrange, Waassertuerm","A=1@O=Bertrange, Waassertuerm@X=6048086@Y=49620842@U=82@L=200101019@",32
"Bertrange, Millewee","A=1@O=Bertrange, Millewee@X=6048104@Y=49617885@U=82@L=200101011@",32
"Bertrange, Rue de Mamer","A=1@O=Bertrange, Rue de Mamer@X=6048563@Y=49615790@U=82@L=200101017@",32
"Bertrange, Belle-Etoile","A=1@O=Bertrange, Belle-Etoile@X=6049866@Y=49621903@U=82@L=200101002@",32
"Bertrange, Gemeng","A=1@O=Bertrange, Gemeng@X=6050289@Y=49610576@U=82@L=200101008@",32
"Bertrange, Dicks","A=1@O=Bertrange, Dicks@X=6052248@Y=49604733@U=82@L=200101004@",32
"Bertrange, Pesch","A=1@O=Bertrange, Pesch@X=6053390@Y=49617660@U=82@L=200101022@",32
"Leudelange, Ketzelach","A=1@O=Leudelange, Ketzelach@X=6057318@Y=49579635@U=82@L=220701010@",32
"Strassen, Riedgen","A=1@O=Strassen, Riedgen@X=6057399@Y=49618154@U=82@L=200901026@",32
"Strassen, Schoenacht","A=1@O=Strassen, Schoenacht@X=6057714@Y=49622136@U=82@L=200901011@",32
"Leudelange, Schléiwenhaff","A=1@O=Leudelange, Schléiwenhaff@X=6057714@Y=49577999@U=82@L=220702001@",32
"Leudelange, Ehlbett I","A=1@O=Leudelange, Ehlbett I@X=6058127@Y=49577127@U=82@L=220701012@",32
"Strassen, Follereau","A=1@O=Strassen, Follereau@X=6058199@Y=49618415@U=82@L=200901010@",32
"Bertrange, Kirfecht","A=1@O=Bertrange, Kirfecht@X=6058262@Y=49611925@U=82@L=200101010@",32
"Strassen, Terminus","A=1@O=Strassen, Terminus@X=6058442@Y=49621840@U=82@L=200901029@",32
"Leudelange, Ackerheek","A=1@O=Leudelange, Ackerheek@X=6058990@Y=49583744@U=82@L=220702002@",32
"Leudelange, Galgebësch","A=1@O=Leudelange, Galgebësch@X=6059080@Y=49569550@U=82@L=220701004@",32
"Leudelange, Gare","A=1@O=Leudelange, Gare@X=6059341@Y=49587052@U=82@L=220701021@",4
"Bertrange, Gare","A=1@O=Bertrange, Gare@X=6059368@Y=49613093@U=82@L=200101024@",4
"Leudelange, Gare routière","A=1@O=Leudelange, Gare routière@X=6059628@Y=49586737@U=82@L=220701005@",32
"Leudelange, Pëssendall","A=1@O=Leudelange, Pëssendall@X=6060473@Y=49572237@U=82@L=220701017@",32
"Leudelange, Ehlbett II","A=1@O=Leudelange, Ehlbett II@X=6060671@Y=49579977@U=82@L=220701014@",32
"Bertrange, Gare routière","A=1@O=Bertrange, Gare routière@X=6060797@Y=49613039@U=82@L=200101007@",32
"Leudelange, Bowent","A=1@O=Leudelange, Bowent@X=6061624@Y=49580256@U=82@L=220701002@",32
"Bertrange, ramassage scol. (rue de Strassen)","A=1@O=Bertrange, ramassage scol. (rue de Strassen)@X=6061876@Y=49616464@U=82@L=200101015@",32
"Strassen, Geesseneck","A=1@O=Strassen, Geesseneck@X=6062011@Y=49621633@U=82@L=200901016@",32
"Leudelange, Queesche Wee","A=1@O=Leudelange, Queesche Wee@X=6062361@Y=49570413@U=82@L=220701013@",32
"Leudelange, Gemeng","A=1@O=Leudelange, Gemeng@X=6062748@Y=49567527@U=82@L=220701006@",32
"Leudelange, Kamellebierg","A=1@O=Leudelange, Kamellebierg@X=6063062@Y=49570538@U=82@L=220701009@",32
"Bertrange, Montereale","A=1@O=Bertrange, Montereale@X=6063952@Y=49609830@U=82@L=200101012@",32
"Strassen, Chapelle","A=1@O=Strassen, Chapelle@X=6064015@Y=49618649@U=82@L=200901008@",32
"Leudelange, Wäschbur","A=1@O=Leudelange, Wäschbur@X=6064411@Y=49566970@U=82@L=220701016@",32
"Bertrange, City Concorde","A=1@O=Bertrange, City Concorde@X=6065606@Y=49600652@U=82@L=200102002@",32
"Leudelange, Gruef","A=1@O=Leudelange, Gruef@X=6065669@Y=49562889@U=82@L=220701008@",32
"Leudelange, Beetebuergerwee","A=1@O=Leudelange, Beetebuergerwee@X=6066101@Y=49562053@U=82@L=220701001@",32
"Strassen, Kesseler","A=1@O=Strassen, Kesseler@X=6066451@Y=49621013@U=82@L=200901017@",32
"Roodt/Bour, Bréck","A=1@O=Roodt/Bour, Bréck@X=6000614@Y=49694365@U=82@L=190507001@",32
"Tuntange, Sëllerstrooss","A=1@O=Tuntange, Sëllerstrooss@X=6003590@Y=49720164@U=82@L=160206004@",32
"Nospelt, Beim Gliesener","A=1@O=Nospelt, Beim Gliesener@X=6005199@Y=49673708@U=82@L=190605001@",32
"Tuntange, Al Schoul","A=1@O=Tuntange, Al Schoul@X=6008830@Y=49718420@U=82@L=160206006@",32
"Nospelt, Pompjeesbau","A=1@O=Nospelt, Pompjeesbau@X=6008866@Y=49673285@U=82@L=190605003@",32
"Tuntange, Kiirch","A=1@O=Tuntange, Kiirch@X=6008938@Y=49717701@U=82@L=160206002@",32
"Tuntange, Duerf","A=1@O=Tuntange, Duerf@X=6009639@Y=49716739@U=82@L=160206001@",32
"Buschdorf, Belle Vue","A=1@O=Buschdorf, Belle Vue@X=6010170@Y=49746718@U=82@L=160203001@",32
"Tuntange, Gemeng","A=1@O=Tuntange, Gemeng@X=6010574@Y=49718051@U=82@L=160206008@",32
"Nospelt, Kräizhiel","A=1@O=Nospelt, Kräizhiel@X=6011275@Y=49672413@U=82@L=190605002@",32
"Kehlen, Zone Industrielle 3","A=1@O=Kehlen, Zone Industrielle 3@X=6012165@Y=49664314@U=82@L=190602006@",32
"Tuntange, Weisserchen","A=1@O=Tuntange, Weisserchen@X=6012732@Y=49713161@U=82@L=160206005@",32
"Kehlen, Zone Industrielle 2","A=1@O=Kehlen, Zone Industrielle 2@X=6014206@Y=49662426@U=82@L=190602010@",32
"Tuntange, Knupp","A=1@O=Tuntange, Knupp@X=6016058@Y=49716433@U=82@L=160206003@",32
"Brouch (Mersch), Kneppchen","A=1@O=Brouch (Mersch), Kneppchen@X=6017065@Y=49741882@U=82@L=160202003@",32
"Bour, Bour","A=1@O=Bour, Bour@X=6017757@Y=49701035@U=82@L=161109001@",32
"Kehlen, Zone Industrielle 1","A=1@O=Kehlen, Zone Industrielle 1@X=6018898@Y=49663136@U=82@L=190602009@",32
"Brouch (Mersch), Kiercheplaz","A=1@O=Brouch (Mersch), Kiercheplaz@X=6020310@Y=49735194@U=82@L=160202001@",32
"Dondelange, Pompstatioun","A=1@O=Dondelange, Pompstatioun@X=6025146@Y=49695488@U=82@L=190601002@",32
"Kehlen, Um Ënneschte Buer","A=1@O=Kehlen, Um Ënneschte Buer@X=6029434@Y=49667622@U=82@L=190602002@",32
"Dondelange, Dondel","A=1@O=Dondelange, Dondel@X=6029937@Y=49687928@U=82@L=190601001@",32
"Brouch (Mersch), Kloeppel","A=1@O=Brouch (Mersch), Kloeppel@X=6030602@Y=49738798@U=82@L=160202002@",32
"Kehlen, Bei Fiewer","A=1@O=Kehlen, Bei Fiewer@X=6034405@Y=49667514@U=82@L=190602001@",32
"Kehlen, Op der Héicht","A=1@O=Kehlen, Op der Héicht@X=6035043@Y=49666004@U=82@L=190602003@",32
"Kehlen, Schaarfeneck","A=1@O=Kehlen, Schaarfeneck@X=6035888@Y=49670759@U=82@L=190602004@",32
"Kehlen, Um Knapp","A=1@O=Kehlen, Um Knapp@X=6038585@Y=49667379@U=82@L=190602005@",32
"Ansembourg, Kapell","A=1@O=Ansembourg, Kapell@X=6040751@Y=49702320@U=82@L=160208001@",32
"Kehlen, Katterwang","A=1@O=Kehlen, Katterwang@X=6044769@Y=49678364@U=82@L=190602011@",32
