Station Name,LID,Modes of Transports
Ebring Croisement,A=1@O=Ebring Croisement@X=6910556@Y=49117042@U=80@L=8705475@,8
Diebling Maison Forestiere,A=1@O=Diebling Maison Forestiere@X=6930099@Y=49113248@U=80@L=8706289@,8
Diebling Centre,A=1@O=Diebling Centre@X=6940445@Y=49108870@U=80@L=8701002@,8
Metzing,A=1@O=Metzing@X=6958694@Y=49105374@U=80@L=8701611@,8
Hundling,A=1@O=Hundling@X=6977706@Y=49106560@U=80@L=8701247@,8
Hundling Stade,A=1@O=Hundling Stade@X=6980978@Y=49107980@U=80@L=8773771@,8
Hundling Hôtel de Ville,A=1@O=Hundling Hôtel de Ville@X=6981670@Y=49107648@U=80@L=8774837@,8
Forbach (F),A=1@O=Forbach (F)@X=6900255@Y=49189216@U=80@L=8700271@,9
"Sportplatz, Klarenthal Saarbrücken","A=1@O=Sportplatz, Klarenthal Saarbrücken@X=6900911@Y=49230431@U=80@L=11907@",1024
"Bahnhof, Forbach (F)","A=1@O=Bahnhof, Forbach (F)@X=6901010@Y=49188659@U=80@L=19701@",136
"Straße des 13. Januar, Luisenthal Völklingen","A=1@O=Straße des 13. Januar, Luisenthal Völklingen@X=6901324@Y=49248284@U=80@L=19108@",1664
"Grubenweg, Gersweiler Saarbrücken","A=1@O=Grubenweg, Gersweiler Saarbrücken@X=6901468@Y=49239978@U=80@L=11504@",1152
"Saarstr., Gersweiler Saarbrücken","A=1@O=Saarstr., Gersweiler Saarbrücken@X=6901846@Y=49237686@U=80@L=11505@",1152
"An den Ziegelhütten, Klarenthal Saarbrücken","A=1@O=An den Ziegelhütten, Klarenthal Saarbrücken@X=6902133@Y=49228786@U=80@L=11902@",1152
"Albertstr., Luisenthal Völklingen","A=1@O=Albertstr., Luisenthal Völklingen@X=6902304@Y=49253111@U=80@L=19101@",1664
"Ostschachtstr., Gersweiler Saarbrücken","A=1@O=Ostschachtstr., Gersweiler Saarbrücken@X=6902349@Y=49235852@U=80@L=11503@",1152
